Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:74kAlb3OrVl15ZKgfWdxhy,"Pinnacles","Dressed Like Boys","Dressed Like Boys",2025-08-29,222756,42,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.59,0.457,6,-9.127,1,0.0294,0.56,0.000183,0.134,0.267,148.076,4
spotify:track:5JsQuKh8IxsRPxXt2bWjDP,"The Signal","The Signal","Compact Disk Dummies",2024-04-12,231266,23,false,,2025-12-18T11:24:13Z,"","541",0.747,0.8,5,-6.692,0,0.0394,0.0194,0.00196,0.167,0.619,118.989,4
spotify:track:6FpGarU82UbiZXyI7Dyh6M,"Run Free","All Systems Are Lying / Run Free","Soulwax",2025-07-09,280040,40,false,,2025-12-18T11:24:13Z,"electroclash,new rave,alternative dance","Soulwax",0.635,0.884,6,-5.577,0,0.0369,0.0248,0.343,0.178,0.255,108.019,4
spotify:track:4o4is1YPSaboVAeDi6t5hn,"Isabella","Isabella","Camille",2025-11-21,210418,49,false,,2025-12-18T11:24:13Z,"","Mostiko",0.724,0.726,5,-5.35,1,0.0311,0.0222,0,0.168,0.47,126.002,4
spotify:track:2KejCKgm7l3uefW9cFt8cH,"Nightcall","Nightcall","Kavinsky;Angèle;Phoenix",2024-09-20,179306,66,false,,2025-12-18T11:24:13Z,"synthwave,french house,french pop,variété française,french indie pop,chanson,indie","Universal Music Division Virgin Music Distribution Deal",0.567,0.785,9,-5.512,0,0.0256,0.000175,0.00353,0.396,0.312,97.017,4
spotify:track:0rNbnftds39PJOL8HzdLho,"Vlammen","Heimwee","Eefje de Visser",2024-09-13,231718,41,false,,2025-12-18T11:24:13Z,"nederpop","Sony Music Entertainment",0.534,0.526,1,-10.124,0,0.0398,0.567,0.552,0.104,0.435,159.89,4
spotify:track:2WCbUIIPHbX6t9M0UH0p4S,"Lies","Dressed Like Boys","Dressed Like Boys",2025-08-29,227408,42,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.511,0.552,10,-8.869,1,0.0391,0.0593,0.138,0.127,0.259,184.981,4
spotify:track:7sswPponP7QFEhJK4HoZmQ,"Get U What U Want","Get U What U Want","GLINTSAL;FAISAL;Glints",2024-09-13,209493,28,true,,2025-12-18T11:24:13Z,"","Top Notch Music BV",0.837,0.847,8,-4.184,0,0.132,0.115,0,0.37,0.647,107.02,4
spotify:track:005k50cKNdWjOitdP6Y6jz,"Angel Face","Angel Face","Oscar and the Wolf",2024-02-02,212092,44,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.509,0.67,9,-7.09,1,0.0401,0.00649,0,0.0613,0.276,93.926,4
spotify:track:0pO2YRwTBZ2xAAdZgMV3KC,"Alles loopt anders","Droomvoeding","Brihang",2023-10-06,183693,37,false,,2025-12-18T11:24:13Z,"","Fake Records",0.629,0.459,7,-11.513,0,0.376,0.771,0.00000313,0.14,0.404,143.394,4
