genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Dance,Timbaland,If We Ever Meet Again (Featuring Katy Perry) - feat. ケイティ・ペリー,360UM2DaiHZPRu0EsrOvMp,62,0.00657,0.646,292707,0.635,0.0,C#,0.0579,-7.322,Major,0.0343,126.062,4/4,0.348
Children’s Music,Foster The People,Are You What You Want to Be?,3CVPyuuD6HxWXgPbbGqbg6,57,0.00702,0.599,270840,0.816,2.8e-06,F#,0.508,-5.002,Minor,0.0514,126.02,4/4,0.595
Movie,Chorus,Gimme Dat,4yNVII2BBfOZwvw8I1DPX4,0,0.167,0.78,255371,0.548,4.65e-06,G,0.0774,-7.987,Minor,0.152,105.989,4/4,0.631
Pop,Jacquees,Come Thru,3BFrR2hemusNSuiuNWXUqO,67,0.15,0.725,291500,0.552,0.0,B,0.214,-7.369,Minor,0.0475,111.996,4/4,0.582
Alternative,Lewis Del Mar,Loud(y),2Df8M8sO1zhC71p2XQRwpj,49,0.261,0.712,249520,0.563,2.61e-05,G,0.137,-7.435,Minor,0.0712,140.048,4/4,0.502
Folk,Kevin Garrett,Precious,7hPCQu4cfEX6L2JdqK3ebK,53,0.369,0.64,267973,0.477,0.000411,G#,0.111,-9.193,Major,0.0479,117.005,4/4,0.163
Ska,Los Fabulosos Cadillacs,El Impacto,6LhqyR1RTbIX5dyNWq52zG,37,0.29,0.4,239200,0.523,0.649,D,0.374,-9.203,Minor,0.029,143.842,4/4,0.0507
Hip-Hop,Swoope,Hall of Fame,6vOrFSgl9uYHexljLl26E1,51,0.00441,0.848,217915,0.577,0.0,C#,0.223,-8.038,Minor,0.39,150.076,4/4,0.437
Alternative,Nirvana,Frances Farmer Will Have Her Revenge On Seattle,06B04lID9HGPwPWwBkTQfU,49,6.16e-05,0.485,250013,0.73,0.000458,A#,0.101,-10.068,Minor,0.044,117.093,4/4,0.545
Pop,Kiana Ledé,Big Spender (feat. Prince Charlez),0mYNxaedZsptTWmaqy2PoB,64,0.128,0.587,195173,0.739,0.000386,C#,0.388,-5.41,Minor,0.254,78.796,4/4,0.865
Rap,System Of A Down,Lost In Hollywood,0GrHWVTDsaWcD4nrCGr7VE,66,0.598,0.295,320693,0.797,0.000427,G#,0.125,-3.193,Minor,0.0301,150.301,4/4,0.107
Comedy,Comedian Bob Marley,Creepy Clicker Kid,55bP2AG7zQNiRmbPL21t0g,15,0.798,0.546,183653,0.917,0.0,E,0.978,-7.185,Major,0.8,56.735,4/4,0.593
Reggaeton,Don Omar,Así Es Que Es,0i5hJIL7yApCPcyVRdYQxj,27,0.0278,0.539,225160,0.861,0.0,G,0.0724,-4.927,Major,0.204,84.18,4/4,0.863
Children’s Music,Lecrae,Cry For You,3wJJPeMhR7A8t2AkCoP9Ma,53,0.304,0.642,263467,0.353,0.0,A#,0.0927,-12.384,Minor,0.215,89.596,4/4,0.276
Soundtrack,Thomas Newman,Finding Dory (Main Title),354K3xQPgALQEOiIYzAMat,44,0.951,0.167,55280,0.168,0.979,C,0.11,-20.745,Minor,0.0561,210.805,4/4,0.0816
Blues,X,Los Angeles,3hgBGx3ShG9uCiJ3kvh8wm,44,0.0871,0.608,144821,0.791,1.81e-06,G,0.0868,-5.441,Major,0.0306,92.743,4/4,0.722
World,Aphex Twin,Formula,4JTOXfltCmoPoOqNUjV1BV,31,0.0175,0.488,347080,0.881,0.131,C#,0.699,-6.363,Major,0.58,166.895,4/4,0.122
Country,Lauren Alaina,Three,6ojBD4VESwLI6pCj1PPUuD,46,0.647,0.463,225720,0.418,0.0,C,0.12,-5.178,Major,0.0258,156.076,3/4,0.272
Rock,Elton John,Take Me To The Pilot,1CPmTJHyeVRWsc6Va27fpQ,52,0.393,0.403,226627,0.525,0.0,F,0.214,-9.287,Major,0.0941,82.859,4/4,0.58
Ska,Catch 22,Prologue,5ynbfkzMnOBatIs9gDqd9C,32,0.0142,0.41,190933,0.843,6.24e-06,G,0.109,-7.619,Major,0.103,88.846,4/4,0.361
Reggae,Bob Marley & The Wailers,Rebel Music - Live At Ahoy Hallen/1978,1ppi1KAa03Ex3RnN59Ldkn,32,0.0705,0.488,313987,0.609,0.000482,F#,0.378,-12.231,Minor,0.31,169.163,5/4,0.691
Jazz,Suff Daddy,Suff Gucci,3dqcRnxc2vIMZfIOi0lOd3,40,0.703,0.656,278230,0.592,0.0,B,0.104,-4.699,Minor,0.508,87.856,4/4,0.834
